Plans;Int1;Int2;Int3;Int4;Int5;Int6;Work1;Work2;Work3;Work4;Work5;Work6;Ext1;Ext2;Ext3;Ext4;Ext5;Ext6;Ext7;Ext8;Age;Gender
1;5;7;5;7;6;5;7;7;7;7;5;6;5;5;7;7;7;6;2;5;25;2
3;5;6;6;5;7;7;7;7;7;7;7;7;7;7;7;7;7;6;2;7;20;1
5;5;5;3;4;2;5;6;3;2;4;3;4;4;4;3;4;6;5;4;3;19;1
5;4;5;5;4;4;6;3;4;6;5;6;6;5;4;5;4;3;4;5;4;19;2
2;5;3;5;6;6;1;7;7;5;4;7;7;6;4;7;5;2;6;5;7;52;2
2;4;6;5;6;6;5;6;6;7;5;6;6;6;5;5;6;4;5;4;5;20;2
3;5;7;4;7;7;1;7;5;7;7;7;7;7;7;6;7;7;5;3;7;26;1
7;4;5;4;2;1;1;7;5;2;6;2;2;1;1;4;2;2;5;6;2;23;1
2;3;5;7;7;7;7;6;6;6;5;6;7;6;7;6;7;6;6;3;6;21;2
5;4;3;3;5;5;5;4;3;3;2;5;5;3;3;5;2;3;6;5;3;21;1
2;2;2;4;6;5;4;6;3;3;5;3;4;4;5;4;5;5;4;1;6;21;2
6;6;3;4;4;6;5;6;6;6;6;4;4;6;5;6;6;6;3;4;5;21;2
7;4;2;6;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;2;7;50;2
1;4;2;4;7;7;7;7;7;7;7;5;5;6;6;5;7;7;5;3;6;20;2
3;5;5;5;7;5;6;5;5;4;6;5;5;4;6;4;6;7;5;4;6;20;2
6;5;4;3;3;6;6;3;5;6;2;3;3;2;2;4;3;4;6;6;2;22;2
1;2;1;7;7;7;7;6;6;5;6;5;7;7;4;7;7;7;7;2;7;30;2
3;4;2;5;7;6;7;7;7;7;7;5;5;7;5;6;6;7;7;4;7;54;1
1;5;3;3;6;7;6;6;6;7;5;6;6;7;6;6;7;7;5;3;6;21;2
4;3;6;6;5;5;3;4;4;5;5;5;6;4;6;6;6;6;5;3;6;20;2
3;6;6;7;7;5;7;6;5;4;7;7;7;7;6;7;5;4;7;6;6;34;2
4;1;3;6;6;5;4;2;3;6;3;3;5;1;4;6;4;4;5;4;3;76;1
1;1;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;5;5;3;7;20;2
7;3;5;3;5;3;5;2;2;2;3;5;4;1;3;1;2;3;5;5;6;20;1
2;3;4;3;4;6;5;6;6;6;5;5;5;5;6;5;5;6;6;2;5;25;2
2;4;6;5;7;4;3;6;3;6;7;4;4;5;5;6;6;5;7;3;5;45;1
6;3;6;5;6;5;6;6;6;6;5;5;5;5;4;6;5;3;7;6;6;17;1
4;6;4;7;7;7;7;7;4;6;6;7;7;6;6;6;6;7;6;3;7;41;1
1;7;1;4;3;3;1;2;7;5;4;6;7;2;5;2;3;2;5;4;2;54;1
4;1;5;5;5;3;5;3;5;4;6;4;5;5;5;4;4;5;4;3;6;24;2
5;7;3;5;6;6;1;5;4;3;4;6;6;3;4;6;4;3;5;6;4;23;2
1;3;5;6;4;4;7;5;3;4;5;6;6;7;6;5;5;5;5;4;5;28;2
7;7;2;6;6;6;2;6;6;6;5;6;6;2;6;5;6;7;5;2;7;24;2
1;4;7;6;6;6;6;6;6;4;3;5;4;6;4;7;5;6;7;4;4;21;2
1;6;4;3;7;7;5;7;7;7;5;4;3;1;4;7;7;5;7;1;5;18;2
7;3;5;4;6;7;5;6;4;7;2;4;1;4;4;6;3;2;5;5;3;20;2
1;4;2;4;4;7;4;6;7;7;7;6;7;6;7;7;7;7;6;1;7;20;2
1;1;1;7;7;7;7;7;7;7;7;4;7;7;7;7;7;7;5;3;7;51;2
1;4;5;5;7;7;7;7;7;7;7;6;7;7;7;7;7;7;4;3;5;44;2
1;4;1;1;7;7;7;7;7;7;6;6;5;7;6;7;7;7;5;4;7;20;2
6;3;6;4;6;5;7;5;4;6;5;3;4;2;3;4;5;7;5;2;5;22;1
6;3;2;6;7;7;7;7;7;7;6;7;7;7;7;7;7;5;6;2;6;20;2
1;1;6;7;6;7;3;7;7;7;6;7;7;7;5;6;5;3;6;5;5;20;2
1;6;3;4;7;7;3;4;7;7;7;5;5;7;7;7;7;7;7;4;5;44;2
1;7;1;1;7;7;5;6;6;6;7;6;6;6;6;7;7;7;7;4;7;39;1
3;3;5;5;5;6;1;6;6;6;6;6;5;6;6;7;5;4;5;4;5;30;1
3;5;6;5;6;5;4;6;6;6;6;6;6;6;6;6;6;6;6;5;6;31;1
2;1;1;1;1;2;3;3;3;4;4;4;4;4;4;4;4;4;5;5;4;50;2
2;6;3;2;5;5;2;5;6;6;6;7;6;4;4;5;6;7;6;3;6;56;1
1;4;2;6;6;6;7;6;7;7;7;7;7;7;7;7;7;7;6;2;6;45;2
7;4;4;5;4;6;4;7;7;7;7;4;6;6;5;7;7;7;7;2;6;21;2
